时间,标题,链接,标签,公众号
1745838693,走进“三室一厅” | 行知书院2025年“学科之窗·奋进启航”学院探访系列活动回顾,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514021&idx=1&sn=138c0504b67a95615828cb17318b0f68&chksm=c03ea19ef74928889b16fe34549f06f6d23b8cf60f25664ec04255a3de87f3b5b335776b1a65#rd,0,南京大学行知书院
1745838693,春日序章，双院芳华 | 有训书院–行知书院集体生日会活动精彩回顾,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247514021&idx=2&sn=05682bca22491bacd7cccd813f81889e&chksm=c03ea19ef74928887550c8633d4241533dbd3795e6031fe7ec5589eaa589330fed89f9cba345#rd,0,南京大学行知书院
1745669527,走进“三室一厅” |【学科之窗·奋进启航】行知书院2024级新生参访社会学院,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513987&idx=1&sn=2b4e88f588ea9d2c38c618bfde39e183&chksm=c03ea1b8f74928aeb6d2763b37e0ba8a844666d5467d4f2b02216fbb74b6011d5286820138e0#rd,0,南京大学行知书院
1745500792,走进“三室一厅” |【学科之窗·奋进启航】行知书院2024级新生参访政府管理学院,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513963&idx=1&sn=f51b7820e224fb5e8d1afaa2d9ab703f&chksm=c03ea150f74928461498075134d0b335b8745609178f8820bf77e9792ddff99d519e0c7bd85d#rd,0,南京大学行知书院
1745414018,走进“三室一厅” |【学科之窗·奋进启航】行知书院2024级新生参访国际关系学院,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513942&idx=1&sn=ea94126a6fa3dbd3c2faba319b1de004&chksm=c03ea16df749287b4d42ff49ce15c7c7ed483654935da7187c67b9ce4ddbc9595d545a85daa2#rd,0,南京大学行知书院
1745414018,行知劳育 | 行知书院开展“艺启春日 非遗新生”第1期秦淮花灯手工制作活动,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513942&idx=2&sn=df86231d43421c6fd5ae02772388dd6f&chksm=c03ea16df749287be9f5f81d8b5eea4634bdac09a48e2bb1eda9ec840d15ea5b0a628cecdda9#rd,0,南京大学行知书院
1745244388,学科之窗 | 行知书院2024级社科大类分流专业宣讲会预告,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513906&idx=1&sn=58dc11d69bde12f132ae5ae06a9ab097&chksm=c03ea109f749281f4092cf74fb2070373d39a6c9bec37b834cdd1bbcc7fd70697b8b12056fa2#rd,0,南京大学行知书院
1745244388,班团风采 | 2024级经管二班组织参观致敬“大先生”系列展之走近陶行知,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513906&idx=2&sn=3098373eaef66daac660aa2c245698c7&chksm=c03ea109f749281fb0a2fe7d744d2f41bca12a3c600f7a84e95f0c3e86d66714de5f590ce815#rd,0,南京大学行知书院
1744981725,走进“三室一厅” |【学科之窗·奋进启航】行知书院2024级新生参访信息管理学院,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513883&idx=1&sn=6138166ccb5f622d5631a66234cc898a&chksm=c03ea120f749283693563144913ca0714d2935b288ec779388c6232cf1575adc78a71d3edc9f#rd,0,南京大学行知书院
1744981725,世界读书日特辑 | 2025年春季学期新生午餐读书会第三场旁听报名,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513883&idx=2&sn=13e3e9914d2494ad946e467bd51b62d6&chksm=c03ea120f749283619183258ede2583e27dfe59ae3fd970fb90ec85a5a163bd108420d30e056#rd,0,南京大学行知书院
1744727720,熠熠来路忆行知 | 致敬“大先生”系列展之走近陶行知开幕式在鼓楼校区图书馆举行,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513853&idx=1&sn=bdbd6f7afb2befa78a6a88d8d05be531&chksm=c03ea0c6f74929d0956d5b8b88d23488d561dc3ff4b980a78df651b7bfc30900f2b164c457d4#rd,0,南京大学行知书院
1744291510,班团风采 | 经管各班积极开展2025年全国两会精神专题学习,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513812&idx=1&sn=674ec09791f2cbce10408d2ecb7f0206&chksm=c03ea0eff74929f943062255e63da0c64c76cb9476cb489a52835368ad439af4d65069ad707c#rd,0,南京大学行知书院
1744291510,活动预告丨2025年春季学期“含英咀华，阅享午时”新生午餐读书会第二场旁听报名,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513812&idx=2&sn=c28d2143212b5a30aec45ff9e98dc8aa&chksm=c03ea0eff74929f92b73267921158cb4a3ad3f7a49fdf3b11102a46c9b9835e5b4d81a201335#rd,0,南京大学行知书院
1743837716,早期科研 | 第二届区域国别研究学生科研创新项目新生赛道宣介会等你来参与！,http://mp.weixin.qq.com/s?__biz=Mzg5MjU1MjAyMA==&mid=2247513795&idx=1&sn=38cbed9a24e5dfaee0d84f0a10c8a288&chksm=c03ea0f8f74929ee76493cc76cbb78ff1b12f5387317e0f9431e0de52d36155dc447a0d5fe75#rd,0,南京大学行知书院
