时间,标题,链接,标签,公众号
1745811954,南青帮推｜直击你关心的AI 智能体学习与创业难题，从技术赋能到创新案例解析,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501926&idx=1&sn=906bb76d518b3513e0844447d94082a7&chksm=eb985c62dcefd574c92d78f806b78df07ab808ae8d2e5e1d4994e51e3ca8135f04cd4e1b9d4f#rd,0,南青科创
1745811954,查收这份你期待的“挑战杯”培训视频！（七）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501926&idx=2&sn=044fee3ab2d03745ccf3bb06b5d0c418&chksm=eb985c62dcefd574d64e5d6e6b49fcb9e054b57b7fed3788db5f691873705cfb5368b43f2702#rd,0,南青科创
1745811954,志愿同奋进，挑战向未来 | 第十九届“挑战杯”竞赛志愿者考核上线！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501926&idx=3&sn=e7f843a15db71eeed55f057fb0ecb17b&chksm=eb985c62dcefd574ecafbc7af0182604b8a868ba85130d17638d837cdf849ad4aa39e4957c4a#rd,0,南青科创
1745717133,活动预告 | 青年学术科创日：在半导体中一瞥“引力子”的身影——NS大咖面对面第二期：杜灵杰教授,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501915&idx=1&sn=855baace7fa681b20d98aaa170913a34&chksm=eb985c5fdcefd549dba198383ce13311cbe5d468bedd4b3830f10faf2271bd486a48f71c6419#rd,0,南青科创
1745573487,南青帮推｜直击你关心的AI 智能体学习与创业难题，从技术赋能到创新案例解析,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501887&idx=1&sn=e5965bffd326ea4fb9d0b0593e90244e&chksm=eb985c3bdcefd52d86ea203ddde521fbe8f57b9de0f363f340681e7d384bf167b91a7a3acc55#rd,0,南青科创
1745573487,查收这份你期待的“挑战杯”培训视频！（六）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501887&idx=2&sn=8096a3172e7fa7eb3be691d9a11f5776&chksm=eb985c3bdcefd52df5b00a57142cc696d2a665d2e1ac2e8dcf106d74593d74d88ab8814a1d76#rd,0,南青科创
1745378175,南青帮推 | 南京大学“天池杯”AI创新大赛启动,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501872&idx=1&sn=040a662a09b87c9f902abf72a8876894&chksm=eb985c34dcefd52235f8386b03c906afa3202c2e281a906a7a68eee86b828c5e048a1395fa5e#rd,0,南青科创
1745146213,查收这份你期待的“挑战杯”培训视频！（五）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501870&idx=1&sn=d88c8e4691729ef06fb2e872e46cb2f8&chksm=eb985c2adcefd53cad04d028ffb1b3650f9a827de58b44ac7e30609456ade04a28d18935e5b2#rd,0,南青科创
1745068818,查收这份你期待的“挑战杯”培训视频！（四）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501862&idx=1&sn=31369f1a3b5a1c5cc9a8ad8a263a84b5&chksm=eb985c22dcefd5349662d6987fbe341ad23bc09b5b6167c9afc43466e66004180894e03af392#rd,0,南青科创
1744874978,查收这份你期待的“挑战杯”培训视频！（三）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501853&idx=1&sn=8518ca66476a903f4ffebcf826501094&chksm=eb985c19dcefd50f6029fb367d4748afa3c023fa74eaba23e1da442318301516f5978627dfcc#rd,0,南青科创
1744530693,志愿同奋进，挑战向未来｜第十九届“挑战杯”竞赛志愿者培训第三期课程发布！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501842&idx=1&sn=d85dbe7864f7a24fc963f375e7217c41&chksm=eb985c16dcefd500661706559f20922e6975864dc1a87b10abe7b9a29f106b731379379f8bff#rd,0,南青科创
1744460337,查收这份你期待的“挑战杯”培训视频！（二）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501840&idx=1&sn=cbd8142b80b2b13c1506167bb3991eb4&chksm=eb985c14dcefd50271f7195d92226debf3439f88bcbdbbcce3ec6bbf54c355dec4a3ff154a12#rd,0,南青科创
1744180973,查收这份你期待的“挑战杯”培训视频！（一）,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501835&idx=1&sn=9df2fc4d806347f0599a5e9d9c368611&chksm=eb985c0fdcefd519fb45d0e22f395e3477e1619386fd8d2b4087377866fd3a557f0a6e7ef603#rd,0,南青科创
1744180973,南青帮推 | 南京大学首届数智应用大赛——“数海淘金”游园会等你来！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501835&idx=2&sn=8d5170058ef8e177e223d70833f41591&chksm=eb985c0fdcefd519719b33ae6d1e4e76924e4b99695d71b873b5dd0b71ebc55dd0390d658d8b#rd,0,南青科创
1744180973,南青帮推 | 南京大学首届数智应用大赛——“智汇云端”PK赛等你来战！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501835&idx=3&sn=7b149128000bb6c687a2fa3cf31eb788&chksm=eb985c0fdcefd5197c550ce3e70dfcf742ca8850133c15193519d19964ef3666ae872974f076#rd,0,南青科创
1743922157,志愿同奋进，挑战向未来|第十九届“挑战杯”竞赛志愿者培训第二期课程发布！,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501815&idx=1&sn=cb4b3642b4fbe4627c57039fb6ac9dc2&chksm=eb9853f3dcefdae5a6bc0a1b15f2684ef6a6132ad6fa12f3ca736723572cd6311378d3657f03#rd,0,南青科创
1743597714,青年学术科创日｜“挑战杯”校园科技嘉年华——3D打印主题讲座与体验活动顺利举办,http://mp.weixin.qq.com/s?__biz=MzI4MjM3OTYyNw==&mid=2247501809&idx=1&sn=cfbf5fb8f80e0fffa67dd436b50ebfac&chksm=eb9853f5dcefdae369d1e6dcadce36e0786ed327f14bcfd0b54e934906badf0df2ad6bd7fdce#rd,0,南青科创
