时间,标题,链接,标签,公众号
1747136884,巅峰对决！“南大AI”大学生辩论赛圆满结束,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539708&idx=1&sn=d94ff0f98f52666d33cd7271fa8cda1e&chksm=97939507a0e41c111520bec0f0d5df795f4a36c8697111130e5d0474e69671969b1024b9ac55#rd,0,南大社团
1747053362,1，2，3——校庆星光集市暨社团巡礼月晚会倒计时钟声敲响！（内附个人摊位征集）,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539703&idx=1&sn=0f238101950534460994a2814526bf47&chksm=9793950ca0e41c1a0754809f4b704af99c22e5f0fe9f52f901b578479a0d1ed95e52694efe4f#rd,0,南大社团
1747053362,熊熊快报 | 第十三周社团活动,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539703&idx=2&sn=e7af2012aa61bd62cb10cb41be41c064&chksm=9793950ca0e41c1ad768336a3463e24fc7e1d982aa611d4e80f86111941fffdb1b245771b06d#rd,0,南大社团
1746863876,熊熊速览｜请查收来自社小熊的4月社团活动回顾！,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539565&idx=1&sn=fa05e46899fa0624f79e21b7eecc073b&chksm=97939596a0e41c80fc94c9d243bf8d27e21dac69f173489d03aa4d4c6aabc78c2bef16fe6c7a#rd,0,南大社团
1746787307,以声传情，长歌不息——南京大学学生长歌行配音社的声音宇宙,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539549&idx=1&sn=b8dc2cedd2d6c12c4fa767988ce2ba6c&chksm=979395a6a0e41cb08a089dc635ed1963438e83283c5b82885be0891e8d138b150f2475ffd68e#rd,0,南大社团
1746612320,献礼校庆，“南大AI”大学生辩论赛来啦！,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539528&idx=1&sn=d1d90b5c7c0caaafaabe964b69f426fc&chksm=979395b3a0e41ca500fe75f337f9ad2a6796c12738cc5a3240cd97622629559fc34d8a1bfe3a#rd,0,南大社团
1746612320,社团展播台 | 九歌国风音乐社：倒计时5天 | 「娱神纪·九歌」门票放送&展台领奖,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539528&idx=2&sn=926d0d7870beaf3ef00a6fc0f1674112&chksm=979395b3a0e41ca523b4b968e00ae709a16c18fb88c6f9aa138d4c2980eb12f9594fce79c051#rd,0,南大社团
1746543272,弈道传承：南京大学学生围棋社的文化育人之道,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539453&idx=1&sn=db00ea8a7e00df65f9bd3896ec1877f3&chksm=97939406a0e41d10487db4f77196a79b3f9e08c3e51cb2f495986503e7f10ad3b142fcd94590#rd,0,南大社团
1746452171,熊熊快报 | 第十二周社团活动,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247539022&idx=1&sn=82f34e7c7d2e146e0baa7f6a9dab32a5&chksm=979397b5a0e41ea3524b149fef068ed1ec69ac01de7808935775f7de93d39c5cabd0ae940591#rd,0,南大社团
1746357568,社团展播台 | 爱心联盟社：文绘丹青 | 2025年南心支教团实践志愿招募,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538797&idx=1&sn=48f219298a8de88ec850cf79e0d6fca2&chksm=97939696a0e41f8053d539aaf20b16255566cb087fccb944d5aeed4b0eef5727cb5eda502296#rd,0,南大社团
1746268332,南大挺入晋级赛！5月7日“ai荔枝”辩论会邀您来看！,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538796&idx=1&sn=69e47066d2fdb2c93f8167682f5fe675&chksm=97939697a0e41f810a197bfa5c65d778dfb2a9c179abb0ccf5acbe80b56805c5e9845c5ee48e#rd,0,南大社团
1746172785,深耕物理沃土，铸就学术高峰——南京大学学生支点学社的奋进征程,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538757&idx=1&sn=5a6f0bf7bf0613330d348e05b26a8b4d&chksm=979396bea0e41fa86f21f0051964cda41f9db8e212dc3f75a2a3258992c420af479047a5467e#rd,0,南大社团
1746008625,社团展播台 | 知行社：赛事总结｜第六届“金陵杯”全国高校模拟法庭竞赛圆满结束,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538737&idx=1&sn=11e46f611195acc460c2727b0f05a8e2&chksm=979396caa0e41fdcb5ee0fd286db11054fb6d64f4692347de93eb892593950810d019e2cd5a6#rd,0,南大社团
1745925443,思辨求真，文化润心——南京大学学生辩论协会的发展进程,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538642&idx=1&sn=171a0fdbe6b23620889a3e23d7344a32&chksm=97939929a0e4103ff7aba3f19dec9262365f9b7410bb749e388c9b6aa25c363b0f67019c21d2#rd,0,南大社团
1745832270,社团展播台 | 模联：NJUNMUNC 2025丨2025年南京大学全国模拟联合国大会成功举办,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538618&idx=1&sn=2bdd33f52612609dbe9d4b0f0a042792&chksm=97939941a0e4105773e3d4591d9fdc85a0aa7c30886e934031726d2f2000bde975bf02a755bf#rd,0,南大社团
1745752361,社团展播台 | 集庆会馆：活动预告 | “粉墨寄情”——南京大学集庆会馆二十二周年折子戏专场演出（附领票攻略）,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538597&idx=1&sn=aaa8b7d5644d5752596e4aa1daaaa37a&chksm=9793995ea0e41048bea21ffc9408da6b1d338ff549d0691b0d75977324238bf2e61988f3558f#rd,0,南大社团
1745656093,深耕学术土壤，凝聚青年力量——南京大学学生习近平新时代中国特色社会主义思想青年学习社的成长之路,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538575&idx=1&sn=7f30258774458bc99fc4c0c331af6f43&chksm=97939974a0e41062276799adf4e9ece182415ecf50645eab516abf7f0e747f03518335294381#rd,0,南大社团
1745656093,跃动青春，“鲸”彩无限！南雍学子这样书写春日运动诗篇,http://mp.weixin.qq.com/s?__biz=MzIxNTg4MjY0NA==&mid=2247538575&idx=2&sn=399b319f4db4d73b5c117664d5fd0f70&chksm=97939974a0e41062c6d139800fdb3b7e48c9a59f9832ebe417a5c3544aca4c1bfb94216c0c51#rd,0,南大社团
